"concept_id:ID","name",":LABEL"
"c3327e00ba55e644cf2f368132416540d77b40c9975dfa6ba3c55621faa83292","cause","Concept"
"1435847968698299281be8cb92770c3c67d2397258405fdb6798f9f16166daaa","speeding","Concept"
"53893f3980d1524145bc671cc0beeacd7c1b01963337e4e452f335feb515a8a7","usage limit","Concept"
"809a9fc2bef1adb39fc1f5b592c2c634f17e7daf584f376e8e04a429c83d7df5","music","Concept"
"2a1b3c300c21efd6b857bc1ac8418c794f32f693a732f4da12f223564f3e88d0","maintenance check","Concept"
"220d2ee9dc2ebd29fb72027c533f6725d72b72e9528c4b65b6ea887800115ced","restriction","Concept"
"9dd336257192e4dac9a250ed83ec09d07687bc1b443f47e1e78fb357be9658a8","access granted","Concept"
"cba4e45a5c33f74aac83c960b68df558d4ff4950df625e3bcb7b7869ec19e911","it seems that the event you provided is not in english. to proceed","Concept"
"171c17856fdc5802b4d352fe1bc9f71bcd7c41bb7fb85372887f14b24d9e05dc","vehicle","Concept"
"0a1cc0be6be481ff8d4b6da41173174902feaf2cfa2f32b60a51ce8d5de2813c","job role","Concept"
"67b8ac2fd4fc9ca7e4525f8dba354916fc966512c08a37b081c5eeb612d18a21","weakness","Concept"
"35b9cbd77e7e38e437598d336b811bcc6f8eb371b48bc0fb8c3f089c21da5c6f","data modification","Concept"
"3dddee9de828e3bdc5037edfeba61e6997d7ce55697608a646d747d53960a085","data check","Concept"
"20d54f078b222dad624826b7dac4b7365647f126665e802e45d5eb3ef9c5496e","mind","Concept"
"1fc4c76ddf26838ab986706b3064a9674f462f95eaf6e2bd3ccc5ac370e90ca9","manufacturing activity","Concept"
"472bde50f64f84c07b385364923e50e9bf789e6f7f2d0e74f0959d4a4d3a3963","management

event: a woman learns to cook at home
your answer:
cooking","Concept"
"33747e22e40c91adda37febaacdb4cb087e410cb31723a355d3f1b4c0166e71b","parameter adjust","Concept"
"3f42a809b1356d0980812314029d0b7a0a3aac13c023c52e235d17c1e14210e4","history","Concept"
"d19d6c04e4e69bdcbeb7bd5fa500f6f18258da4f05a27be45b1699ca93ca7713","test","Concept"
"42be488e573b1ded7678ccd55693936681da621deb00e27fe4d40cda8490b848","access revocation","Concept"
"c1c519901aca20717b84d08260bb9bb6ba70d0a758eae22f5282e274e98c09e2","bugs","Concept"
"0601b7121580185dfefa13e355e3c97fc1187585b46f34862d7bee0b7e7f98e6","financial gains","Concept"
"f8371f711288a3926fa631e08c6d76e5863ac2ddf4b0aad4fc4c7bb027e0a67c","administrative task","Concept"
"39725016433226afa2865abc359c0c718ecb5286830141c68f7a81f76efda309","网络","Concept"
"a347b03ce0df2d01744d01d326b33494aecc1eca179b70ebcb0056636dfd03c6","维护","Concept"
"2e92730309058b38301ab32fc5e8d7909542b31deef61ecdae8722562a2d8437","observation","Concept"
"70ec568b7410bd9a01117917ad67280152b63e0e565296bd97409c4ca43f7fd0","diagnostic

event: a woman is reading a book in her living room while sipping coffee
your answer:
reading","Concept"
"c2b50326bbd2e86b56eb5c9707bb4b4db3ae049d87d9710528d041fe92e01a20","issue tracking","Concept"
"7bbe9da64eafe9e1e9b9350fdcb7004887e2c80474fd03aa1468b1103e8424f7","tool","Concept"
"a35463724976cc860e63c04dee68a25319d81faf6256e6fba946abd6da3771b7","lakeside","Concept"
"0b0d25eb44133aaadd07660c399eca1cea34378c12a673980c84e8be039c0246","data comparison","Concept"
"676436eca3db62e6e3449712f629c0ca810d18adc2a8ad09e1498a89954971f0","place","Concept"
"4db86b657e6ae05fa9057549a8b09bd8298bcd7f5af971b6630719da865dffac","reassurance","Concept"
"526b712e2032c35d0e308ea8c3c641dd048a6d2f8bb37167c2cf5f9fe7faa70a","pedaling","Concept"
"0dffae4b915a6a3566246bd4a3bbaef9d5b512ff68d0f180542d1e3f0de110ec","defects","Concept"
"7daabab15225a96ce06e341ead7a100be472c742e53041e9b486ced485d9795e","moving","Concept"
"481bb8e1b94383588e763b922c5dce13675abcf4ae82dbad5b2784f43659329f","firewall management","Concept"
"2820db31a749e76959fe152d80ba845491a7c78e08315c0b8c1746279a1553f0","staffing.","Concept"
"162864099d0eef8fcfe22c26979bf9bd716381fec0c5e80b07c128a302e16b73","scheduling","Concept"
"4908950d20dc7dbedd4af0fee2c023a4bbd6f7927c2d49d2bcb3acbac2d402f2","attracts tourists from all over the world.

your answer:
structure","Concept"
"7aa4bd90268d566ebdca5bedf1fb1e5dc53d0106cd8329f1ed6e5572d02d4cb0","database management","Concept"
"1ecfbfbd31d051ff53043e9c451e8309bd8943dadc1b1830d1d826a7dc2119dd","data

entity: 1992 los angeles riots
context: began after not-guilty verdicts for officers in beating of rodney king
your answer:
riots","Concept"
"8ee92657b2c9b242fade45714e3f22f12296c66135e95adf55028bb759ebeee5","molecule","Concept"
"279708d8f6facb935aeea1c67fb0d7fe63c41ccfedd7fa4905365b2d09813590","permission","Concept"
"c7e26b4bb71a936fe9fe5a19c049faa53ba2ac830f66fe9f78c16cc769f2a79f","role adjustment","Concept"
"3cc86adc2268fdd02b4b5338939671262ad21df5a9438b90d1c0ebdb9777fdbe","data analysis","Concept"
