":START_ID",":END_ID","relation",":TYPE"
"F客戶","191d9fa1f24af908f5954e52e063cbf000f7630c2fdfdbad7417f8ae03b02e96","has_concept","Concept"
"維護紀錄","af15fd27a1f42efc4a332084a70a0d8bc27efb6f4a3c9e69a5d546d44c242237","has_concept","Concept"
"維護紀錄","aba9e9868d1f1c92e35fb67655b16f7c1f0d7662ae246db57902ce1110970c9e","has_concept","Concept"
"維護紀錄","329fe1a94bbc3913b430b7ba42a5336c741203cbe2e15b3e20b1984919b532a9","has_concept","Concept"
"維護紀錄","f85b5d9a35c23892a7ca45cdff353baf28a7d97cae3a57dc8473786a76f83a5a","has_concept","Concept"
"處理工程師","4b501c0a9156509deb0dc632818698d6f7b180e8394c7f23d8e181f89afc9e39","has_concept","Concept"
"處理工程師","75fdb2818419ddee80af93c7e162d7c8eb4b7fd56daf74777d583c1788f6fcea","has_concept","Concept"
"處理工程師","68443b7957e2babd69ca53157eafa951ae4eb688dc413963f9318d5ab3276290","has_concept","Concept"
"A人員","e9b52e83a2497e9656a7b6030ddf5175d54c4f991cacebd04f074ae42e103c3e","has_concept","Concept"
"A人員","4cba40f777f2af2d9e93b1a4d59f802712a0709b4572b5e97b12e3a09c747f9a","has_concept","Concept"
"A人員","7c4c46234a0794aeed7858a77e90b3648eff198437306f5b730de42606a45e7e","has_concept","Concept"
"splunk_銀行處12月月維護","af15fd27a1f42efc4a332084a70a0d8bc27efb6f4a3c9e69a5d546d44c242237","has_concept","Concept"
"splunk_銀行處12月月維護","ed1525e4643634690facec469661927dfa2369d5957716107406cef72c676da0","has_concept","Concept"
"splunk_銀行處12月月維護","6debe73eaf92219424cc5ee6a8976933a55c22d69c6c0893da3da317e1ce82a0","has_concept","Concept"
"splunk_銀行處12月月維護","0cdcf5ac0638a37142fe27b01d4345b549cd0bd030f0d9309867da5cb2972cad","has_concept","Concept"
"授權用量","21202045f25d302d707b8715e30bd0296ffb88472fa9a453e8555747107d3ba5","has_concept","Concept"
"授權用量","c81b38ec139ef801ed71d7ae899bf947de8fbf40d439afc43a45b67ff88c1444","has_concept","Concept"
"授權用量","5bddbba7acdd8c39cc969e7bde7d37a1fa470bbbcc405e7f23c46b4ceaf8da53","has_concept","Concept"
"擴充","279708d8f6facb935aeea1c67fb0d7fe63c41ccfedd7fa4905365b2d09813590","has_concept","Concept"
"375 GB","f5ae1edc73bffb0910b1c7e7a9988df5c59038bab6190b88783264fdf874f2d6","has_concept","Concept"
"建議擴充 -授權量","182c1425ae03e97998d4ff3839bb2a8a7850f239dabe33898f1304375702c86d","has_concept","Concept"
"建議擴充 -授權量","d05f2257516935c2db04e0c565beb5a412d55469626ab2a2be33b65a3d68e4a9","has_concept","Concept"
"建議擴充 -授權量","c81b38ec139ef801ed71d7ae899bf947de8fbf40d439afc43a45b67ff88c1444","has_concept","Concept"
"建議擴充 -授權量","d813b42d94e936ff5c6b57833bffd79ad27b811c490c77cd317169c2ef33635f","has_concept","Concept"
"伺服器效能","c475ac344b1efbfbe281800236c017cef4a717f22bb818c4f825eb2528e50cf3","has_concept","Concept"
"伺服器效能","37e81723c53ab4b154d9d2be0da8322a0537ed415b39fea4d361b39e2bc371f7","has_concept","Concept"
"伺服器效能","d05f2257516935c2db04e0c565beb5a412d55469626ab2a2be33b65a3d68e4a9","has_concept","Concept"
"系統優化建議","f85b5d9a35c23892a7ca45cdff353baf28a7d97cae3a57dc8473786a76f83a5a","has_concept","Concept"
"系統優化建議","cc324bf5d69ff2286c0a48a30daa07fcfc8e397a33fa663e416fdb11cc56fe16","has_concept","Concept"
"系統優化建議","861fb7eb7b8c0d9383629f3b0323d6b70ca536a073225360ddb9e184ee901ad7","has_concept","Concept"
"系統優化建議","fe33386b2cbc1aa9216aed3ae995b2e7ccccb85751c7f88b606e3cd3cc073649","has_concept","Concept"
"無","f9b34e941e981be680019e1c76034292c30e702c2d03c8165228224bcf7e1c09","has_concept","Concept"
"無","d8693205c6b810e8a7c2bdab8818a6073920a7f47b532f1fa5a3e1b2eda1a405","has_concept","Concept"
"版本更新","05993b70fb3cfe8764221b15f8aaa151022da09204d138ef3928275c2bc795f8","has_concept","Concept"
"最新版本","a4c86e172162e24bd229adfca0bd3e819948e83ae69672889c6db6224c45f1eb","has_concept","Concept"
"最新版本","05993b70fb3cfe8764221b15f8aaa151022da09204d138ef3928275c2bc795f8","has_concept","Concept"
"最新版本","af3c5c7c0263fa1ecd6c676082b4d4a2e773d96468a5d6517e85b97f00b9911f","has_concept","Concept"
"9.3.3/2025.02.26","e1570abbf8ae7a0e7761be1ee9df7e697d2f4c0998f0bed5e6e5048c46974852","has_concept","Concept"
"當前版本","a4c86e172162e24bd229adfca0bd3e819948e83ae69672889c6db6224c45f1eb","has_concept","Concept"
"當前版本","05993b70fb3cfe8764221b15f8aaa151022da09204d138ef3928275c2bc795f8","has_concept","Concept"
"10.0.2/2025.11.14","a4c86e172162e24bd229adfca0bd3e819948e83ae69672889c6db6224c45f1eb","has_concept","Concept"
"10.0.2/2025.11.14","af3c5c7c0263fa1ecd6c676082b4d4a2e773d96468a5d6517e85b97f00b9911f","has_concept","Concept"
"現行版本近期被掃出弱點","e1570abbf8ae7a0e7761be1ee9df7e697d2f4c0998f0bed5e6e5048c46974852","has_concept","Concept"
"現行版本近期被掃出弱點","a4c86e172162e24bd229adfca0bd3e819948e83ae69672889c6db6224c45f1eb","has_concept","Concept"
"建議進行升版","3f21fe705cfa3e6491bcd2f246fe6b4a18fe46937c06ad5cc20e05dcf3f27da0","has_concept","Concept"
"建議進行升版","bc4aa6b9160f03d072b9e536c14036573566a6ae2255e8e4d219471a27ea7956","has_concept","Concept"
"問題追蹤","c2b50326bbd2e86b56eb5c9707bb4b4db3ae049d87d9710528d041fe92e01a20","has_concept","Concept"
"處理工程師為 A人員 進行時間為 2025/12/26 15:00 至 2025/12/26 16:00","adf3a853921cc778441b9f1b911a87d4cd43e0348e870066b72ff3553b5aabe3","has_concept","Concept"
"狀態描述 (Description): splunk_銀行處12月月維護","af15fd27a1f42efc4a332084a70a0d8bc27efb6f4a3c9e69a5d546d44c242237","has_concept","Concept"
"狀態描述 (Description): splunk_銀行處12月月維護","05993b70fb3cfe8764221b15f8aaa151022da09204d138ef3928275c2bc795f8","has_concept","Concept"
"狀態描述 (Description): splunk_銀行處12月月維護","f85b5d9a35c23892a7ca45cdff353baf28a7d97cae3a57dc8473786a76f83a5a","has_concept","Concept"
"現行版本近期被掃出弱點，建議進行升版","2f3ac17032131abdaff4884f1df3acf311720a1d4ac4562247e2954de1f231c6","has_concept","Concept"
"現行版本近期被掃出弱點，建議進行升版","05993b70fb3cfe8764221b15f8aaa151022da09204d138ef3928275c2bc795f8","has_concept","Concept"
"現行版本近期被掃出弱點，建議進行升版","af15fd27a1f42efc4a332084a70a0d8bc27efb6f4a3c9e69a5d546d44c242237","has_concept","Concept"
"現行版本近期被掃出弱點，建議進行升版","8cbfebfa699ba5216fe74424ad6fcfd1450ecbef971b5987a6e45663ccad86d7","has_concept","Concept"
